year,iso,aco,ch,che,cheb,chech,chee,chefs,chenfd,cmp,dcsfd,dd1,dvc,dvp,dvpdp,dvt,emp,fca,icapt,lco,opprft,pi,revt,foreign,firms
2006,COL,65952.44055882354,210547.37262,227293.1592058824,158759.5835,11736.41192592592,164616.0108518519,1282090.383066666,,,,166699.3190263158,82700.27011764706,,0,82700.27011764706,3.864714285714286,16141.48361363636,2530628.94664,236160.8767058824,,272719.8277,1431176.28272,1,50
2007,COL,99480.96225714286,392945.990283019,403796.6064571428,194467.8358148148,69626.08407407407,264093.919925926,1873731.874529412,,,,198189.224,291426.611,,0,291426.611,10.550125,19575.32544186046,3023746.40909434,307535.1585714286,,380847.3294528302,1762007.603207547,1,53
2008,COL,106668.2666216216,393301.155309091,319970.4404324325,253503.1524642857,11481.59978571428,264984.75225,2046206.25182353,,,,295259.3525333334,295185.5956190476,,0,295185.5956190476,8.354444444444445,25411.98778723404,3096544.161563636,280713.0442972973,,533467.4928909091,2413371.291781818,1,55
2009,COL,92654.7768478261,405034.482640625,229202.2942826087,208491.5710571429,48383.58335135135,245605.3397567567,2541599.387666667,,,,171294.0162115385,319714.5885,,0,319714.5885,13.461875,-2865.055854545454,3258049.321234375,230631.1222608696,,416725.2270937501,2220976.40240625,1,64
2010,COL,104315.54902,498685.7258382354,287455.03126,246362.234512195,46725.91135714286,294675.5225365853,2874944.539833333,,,,291175.8753508772,126644.76175,,0,126644.76175,6.394363636363637,4982.349177419354,4007230.61485294,323517.01572,,474508.2907647058,2405956.48667647,1,68
2011,COL,105888.5150784314,609436.5026338027,408721.1183725489,276556.2356739132,92072.13463043478,368628.3702826086,3156050.5146,,,,373230.4832807017,975687.4985384614,,,975687.4985384614,7.106833333333333,7915.600242424243,4721510.426999999,492851.6958235293,,640235.6937323945,3064062.676028169,1,71
2012,COL,158007.2952448979,682374.3960434783,432506.2078,362954.2254888889,28112.16695555555,391066.3924222222,3784735.706368421,,,,191803.2524230769,799596.3397058824,,,799596.3397058824,14.11883333333333,4635.379852459016,5434540.88384058,509959.23032,,685217.305637681,3504707.562333333,1,69
2013,COL,220358.87356,812520.3679999999,471860.6388039216,364750.9707142858,66325.33742857142,431076.3081632652,4379500.720523809,,,,119847.2395882353,1074685.4887,,,1074685.4887,20.55216666666667,12683.58047540983,5919400.210124999,534291.0949607842,,667472.8743888889,3582728.125486111,1,72
2014,COL,237032.7782040817,945711.1507681159,454515.0584693877,432788.3172291666,-28729.28422916666,404059.0329791665,4810621.31055,,,,197652.2931886793,794221.7604,,,794221.7604,15.26583333333333,29564.69760344828,6937357.576492753,486597.4380000001,,663544.8081884056,3581003.224144927,1,69
2015,COL,96077.9966122449,1312716.320308823,601122.8481020408,398295.8575714285,143141.2616734694,541460.5168979592,7721451.57468421,,,,325387.413076923,293492.8582,,,293492.8582,7.949333333333334,-27297.51,7859924.81702941,441568.6032857144,,480574.5331764706,4313872.873529411,1,68
2016,COL,500455.8770625,1342070.837522388,654021.5865833336,560040.0091666667,-38752.27741666666,521287.73175,8083928.111052632,,,,294371.746,111899.3626666667,,,111899.3626666667,9.998206896551729,22864.53183050848,8409446.139850749,782021.0713333333,,786025.0242238804,5224179.185432835,1,67
2017,COL,526052.0837708333,1298648.416149254,616463.5608958333,592402.4626874999,1628.948166666664,594031.4108750001,9403074.61805263,,,,283422.7903999999,485985.9528571428,,,485985.9528571428,13.37042857142857,12546.82805000001,9274029.66889552,771088.7945416666,,744644.9095970151,5340084.586119402,1,67
